,smoking_status
7050,Non-Smoker
7051,Non-Smoker
7052,Non-Smoker
7053,Non-Smoker
7054,Non-Smoker
7055,Non-Smoker
7056,Non-Smoker
7057,Non-Smoker
7058,Non-Smoker
7059,Non-Smoker
7060,Non-Smoker
7061,Smoker
7062,Smoker
7063,Non-Smoker
7064,Non-Smoker
7065,Non-Smoker
7066,Non-Smoker
7067,Non-Smoker
7068,Non-Smoker
7069,Non-Smoker
7070,Smoker
7071,Non-Smoker
7072,Smoker
7073,Smoker
7074,Non-Smoker
7075,Smoker
7076,Non-Smoker
7077,Non-Smoker
7078,Non-Smoker
7079,Non-Smoker
7080,Non-Smoker
7081,Non-Smoker
7082,Non-Smoker
7083,Non-Smoker
7084,Non-Smoker
7085,Non-Smoker
7086,Non-Smoker
7087,Non-Smoker
7088,Non-Smoker
7089,Non-Smoker
7090,Non-Smoker
7091,Non-Smoker
7092,Non-Smoker
7093,Non-Smoker
7094,Non-Smoker
7095,Non-Smoker
7096,Non-Smoker
7097,Non-Smoker
7098,Non-Smoker
7099,Non-Smoker
7100,Smoker
7101,Non-Smoker
7102,Non-Smoker
7103,Non-Smoker
7104,Non-Smoker
7105,Non-Smoker
7106,Non-Smoker
7107,Non-Smoker
7108,Non-Smoker
7109,Non-Smoker
7110,Non-Smoker
7111,Smoker
7112,Smoker
7113,Non-Smoker
7114,Non-Smoker
7115,Non-Smoker
7116,Non-Smoker
7117,Smoker
7118,Non-Smoker
7119,Non-Smoker
7120,Non-Smoker
7121,Non-Smoker
7122,Non-Smoker
7123,Non-Smoker
7124,Non-Smoker
7125,Non-Smoker
7126,Non-Smoker
7127,Non-Smoker
7128,Non-Smoker
7129,Non-Smoker
7130,Non-Smoker
7131,Non-Smoker
7132,Non-Smoker
7133,Non-Smoker
7134,Non-Smoker
7135,Non-Smoker
7136,Non-Smoker
7137,Non-Smoker
7138,Non-Smoker
7139,Non-Smoker
7140,Smoker
7141,Non-Smoker
7142,Non-Smoker
7143,Non-Smoker
7144,Non-Smoker
7145,Non-Smoker
7146,Non-Smoker
7147,Non-Smoker
7148,Non-Smoker
7149,Non-Smoker
7150,Non-Smoker
7151,Non-Smoker
7152,Non-Smoker
7153,Non-Smoker
7154,Non-Smoker
7155,Non-Smoker
7156,Non-Smoker
7157,Non-Smoker
7158,Non-Smoker
7159,Non-Smoker
7160,Non-Smoker
7161,Non-Smoker
7162,Non-Smoker
7163,Non-Smoker
7164,Non-Smoker
7165,Non-Smoker
7166,Non-Smoker
7167,Smoker
7168,Non-Smoker
7169,Non-Smoker
7170,Non-Smoker
7171,Non-Smoker
7172,Non-Smoker
7173,Non-Smoker
7174,Non-Smoker
7175,Smoker
7176,Non-Smoker
7177,Non-Smoker
7178,Non-Smoker
7179,Smoker
7180,Non-Smoker
7181,Non-Smoker
7182,Non-Smoker
7183,Smoker
7184,Smoker
7185,Non-Smoker
7186,Non-Smoker
7187,Non-Smoker
7188,Non-Smoker
7189,Smoker
7190,Non-Smoker
7191,Non-Smoker
7192,Non-Smoker
7193,Non-Smoker
7194,Non-Smoker
7195,Smoker
7196,Non-Smoker
7197,Non-Smoker
7198,Non-Smoker
7199,Non-Smoker
7200,Non-Smoker
7201,Smoker
7202,Non-Smoker
7203,Non-Smoker
7204,Non-Smoker
7205,Smoker
7206,Non-Smoker
7207,Non-Smoker
7208,Non-Smoker
7209,Non-Smoker
7210,Non-Smoker
7211,Non-Smoker
7212,Non-Smoker
7213,Smoker
7214,Non-Smoker
7215,Non-Smoker
7216,Non-Smoker
7217,Non-Smoker
7218,Non-Smoker
7219,Non-Smoker
7220,Non-Smoker
7221,Non-Smoker
7222,Non-Smoker
7223,Non-Smoker
7224,Smoker
7225,Non-Smoker
7226,Non-Smoker
7227,Non-Smoker
7228,Non-Smoker
7229,Non-Smoker
7230,Non-Smoker
7231,Non-Smoker
7232,Non-Smoker
7233,Smoker
7234,Non-Smoker
7235,Non-Smoker
7236,Non-Smoker
7237,Non-Smoker
7238,Non-Smoker
7239,Non-Smoker
7240,Non-Smoker
7241,Non-Smoker
7242,Non-Smoker
7243,Non-Smoker
7244,Non-Smoker
7245,Non-Smoker
7246,Non-Smoker
7247,Non-Smoker
7248,Non-Smoker
7249,Smoker
7250,Non-Smoker
7251,Non-Smoker
7252,Non-Smoker
7253,Non-Smoker
7254,Non-Smoker
7255,Smoker
7256,Non-Smoker
7257,Non-Smoker
7258,Non-Smoker
7259,Non-Smoker
7260,Non-Smoker
7261,Non-Smoker
7262,Non-Smoker
7263,Non-Smoker
7264,Non-Smoker
7265,Smoker
7266,Non-Smoker
7267,Non-Smoker
7268,Non-Smoker
7269,Non-Smoker
7270,Smoker
7271,Non-Smoker
7272,Non-Smoker
7273,Non-Smoker
7274,Smoker
7275,Non-Smoker
7276,Non-Smoker
7277,Non-Smoker
7278,Non-Smoker
7279,Non-Smoker
7280,Non-Smoker
7281,Non-Smoker
7282,Non-Smoker
7283,Non-Smoker
7284,Non-Smoker
7285,Non-Smoker
7286,Non-Smoker
7287,Non-Smoker
7288,Non-Smoker
7289,Non-Smoker
7290,Non-Smoker
7291,Non-Smoker
7292,Smoker
7293,Non-Smoker
7294,Non-Smoker
7295,Non-Smoker
7296,Non-Smoker
7297,Non-Smoker
7298,Non-Smoker
7299,Non-Smoker
7300,Smoker
7301,Non-Smoker
7302,Non-Smoker
7303,Non-Smoker
7304,Smoker
7305,Non-Smoker
7306,Non-Smoker
7307,Non-Smoker
7308,Non-Smoker
7309,Non-Smoker
7310,Non-Smoker
7311,Non-Smoker
7312,Non-Smoker
7313,Non-Smoker
7314,Non-Smoker
7315,Smoker
7316,Non-Smoker
7317,Non-Smoker
7318,Non-Smoker
7319,Non-Smoker
7320,Non-Smoker
7321,Non-Smoker
7322,Non-Smoker
7323,Non-Smoker
7324,Non-Smoker
7325,Non-Smoker
7326,Non-Smoker
7327,Non-Smoker
7328,Smoker
7329,Non-Smoker
7330,Non-Smoker
7331,Non-Smoker
7332,Non-Smoker
7333,Non-Smoker
7334,Non-Smoker
7335,Smoker
7336,Non-Smoker
7337,Non-Smoker
7338,Non-Smoker
7339,Non-Smoker
7340,Non-Smoker
7341,Non-Smoker
7342,Smoker
7343,Non-Smoker
7344,Non-Smoker
7345,Non-Smoker
7346,Smoker
7347,Non-Smoker
7348,Non-Smoker
7349,Non-Smoker
7350,Non-Smoker
7351,Non-Smoker
7352,Non-Smoker
7353,Non-Smoker
7354,Non-Smoker
7355,Non-Smoker
7356,Non-Smoker
7357,Non-Smoker
7358,Non-Smoker
7359,Non-Smoker
7360,Non-Smoker
7361,Non-Smoker
7362,Non-Smoker
7363,Non-Smoker
7364,Smoker
7365,Smoker
7366,Non-Smoker
7367,Non-Smoker
7368,Non-Smoker
7369,Non-Smoker
7370,Non-Smoker
7371,Non-Smoker
7372,Smoker
7373,Non-Smoker
7374,Non-Smoker
7375,Non-Smoker
7376,Non-Smoker
7377,Smoker
7378,Non-Smoker
7379,Non-Smoker
7380,Non-Smoker
7381,Non-Smoker
7382,Non-Smoker
7383,Non-Smoker
7384,Non-Smoker
7385,Non-Smoker
7386,Non-Smoker
7387,Non-Smoker
7388,Non-Smoker
7389,Non-Smoker
7390,Non-Smoker
7391,Smoker
7392,Non-Smoker
7393,Non-Smoker
7394,Non-Smoker
7395,Non-Smoker
7396,Non-Smoker
7397,Non-Smoker
7398,Non-Smoker
7399,Non-Smoker
7400,Non-Smoker
7401,Non-Smoker
7402,Non-Smoker
7403,Smoker
7404,Non-Smoker
7405,Non-Smoker
7406,Non-Smoker
7407,Non-Smoker
7408,Non-Smoker
7409,Smoker
7410,Non-Smoker
7411,Smoker
7412,Non-Smoker
7413,Non-Smoker
7414,Non-Smoker
7415,Smoker
7416,Non-Smoker
7417,Non-Smoker
7418,Smoker
7419,Non-Smoker
7420,Non-Smoker
7421,Non-Smoker
7422,Non-Smoker
7423,Smoker
7424,Non-Smoker
7425,Non-Smoker
7426,Non-Smoker
7427,Non-Smoker
7428,Non-Smoker
7429,Non-Smoker
7430,Non-Smoker
7431,Smoker
7432,Non-Smoker
7433,Non-Smoker
7434,Smoker
7435,Non-Smoker
7436,Non-Smoker
7437,Non-Smoker
7438,Smoker
7439,Non-Smoker
7440,Non-Smoker
7441,Non-Smoker
7442,Smoker
7443,Non-Smoker
7444,Non-Smoker
7445,Non-Smoker
7446,Smoker
7447,Non-Smoker
7448,Non-Smoker
7449,Non-Smoker
7450,Smoker
7451,Non-Smoker
7452,Non-Smoker
7453,Non-Smoker
7454,Non-Smoker
7455,Non-Smoker
7456,Non-Smoker
7457,Non-Smoker
7458,Non-Smoker
7459,Non-Smoker
7460,Non-Smoker
7461,Non-Smoker
7462,Non-Smoker
7463,Non-Smoker
7464,Non-Smoker
7465,Non-Smoker
7466,Non-Smoker
7467,Non-Smoker
7468,Non-Smoker
7469,Non-Smoker
7470,Non-Smoker
7471,Non-Smoker
7472,Non-Smoker
7473,Non-Smoker
7474,Non-Smoker
7475,Non-Smoker
7476,Non-Smoker
7477,Non-Smoker
7478,Non-Smoker
7479,Non-Smoker
7480,Non-Smoker
7481,Non-Smoker
7482,Non-Smoker
7483,Non-Smoker
7484,Non-Smoker
7485,Non-Smoker
7486,Non-Smoker
7487,Non-Smoker
7488,Non-Smoker
7489,Non-Smoker
7490,Non-Smoker
7491,Smoker
7492,Non-Smoker
7493,Non-Smoker
7494,Smoker
7495,Non-Smoker
7496,Smoker
7497,Non-Smoker
7498,Non-Smoker
7499,Non-Smoker
7500,Non-Smoker
7501,Non-Smoker
7502,Non-Smoker
7503,Non-Smoker
7504,Non-Smoker
7505,Non-Smoker
7506,Non-Smoker
7507,Non-Smoker
7508,Non-Smoker
7509,Non-Smoker
7510,Non-Smoker
7511,Non-Smoker
7512,Non-Smoker
7513,Non-Smoker
7514,Non-Smoker
7515,Smoker
7516,Non-Smoker
7517,Non-Smoker
7518,Non-Smoker
7519,Non-Smoker
7520,Non-Smoker
7521,Non-Smoker
7522,Non-Smoker
7523,Non-Smoker
7524,Non-Smoker
7525,Smoker
7526,Smoker
7527,Non-Smoker
7528,Non-Smoker
7529,Non-Smoker
7530,Non-Smoker
7531,Non-Smoker
7532,Non-Smoker
7533,Non-Smoker
7534,Non-Smoker
7535,Smoker
7536,Non-Smoker
7537,Non-Smoker
7538,Non-Smoker
7539,Smoker
7540,Smoker
7541,Non-Smoker
7542,Smoker
7543,Non-Smoker
7544,Non-Smoker
7545,Non-Smoker
7546,Non-Smoker
7547,Non-Smoker
7548,Non-Smoker
7549,Non-Smoker
7550,Non-Smoker
7551,Non-Smoker
7552,Non-Smoker
7553,Non-Smoker
7554,Non-Smoker
7555,Non-Smoker
7556,Smoker
7557,Smoker
7558,Non-Smoker
7559,Non-Smoker
7560,Non-Smoker
7561,Non-Smoker
7562,Smoker
7563,Non-Smoker
7564,Non-Smoker
7565,Non-Smoker
7566,Non-Smoker
7567,Smoker
7568,Non-Smoker
7569,Non-Smoker
7570,Non-Smoker
7571,Non-Smoker
7572,Non-Smoker
7573,Non-Smoker
7574,Smoker
7575,Non-Smoker
7576,Non-Smoker
7577,Non-Smoker
7578,Non-Smoker
7579,Non-Smoker
7580,Non-Smoker
7581,Non-Smoker
7582,Non-Smoker
7583,Non-Smoker
7584,Non-Smoker
7585,Non-Smoker
7586,Non-Smoker
7587,Non-Smoker
7588,Non-Smoker
7589,Non-Smoker
7590,Non-Smoker
7591,Non-Smoker
7592,Non-Smoker
7593,Non-Smoker
7594,Non-Smoker
7595,Non-Smoker
7596,Non-Smoker
7597,Non-Smoker
7598,Non-Smoker
7599,Non-Smoker
7600,Non-Smoker
7601,Non-Smoker
7602,Non-Smoker
7603,Non-Smoker
7604,Non-Smoker
7605,Non-Smoker
7606,Non-Smoker
7607,Non-Smoker
7608,Non-Smoker
7609,Non-Smoker
7610,Non-Smoker
7611,Non-Smoker
7612,Non-Smoker
7613,Non-Smoker
7614,Non-Smoker
7615,Non-Smoker
7616,Non-Smoker
7617,Non-Smoker
7618,Non-Smoker
7619,Non-Smoker
7620,Non-Smoker
7621,Non-Smoker
7622,Non-Smoker
7623,Non-Smoker
7624,Non-Smoker
7625,Non-Smoker
7626,Non-Smoker
7627,Smoker
7628,Smoker
7629,Non-Smoker
7630,Non-Smoker
7631,Non-Smoker
7632,Non-Smoker
7633,Non-Smoker
7634,Smoker
7635,Non-Smoker
7636,Non-Smoker
7637,Non-Smoker
7638,Non-Smoker
7639,Non-Smoker
7640,Smoker
7641,Non-Smoker
7642,Smoker
7643,Non-Smoker
7644,Non-Smoker
7645,Non-Smoker
7646,Non-Smoker
7647,Non-Smoker
7648,Non-Smoker
7649,Non-Smoker
7650,Non-Smoker
7651,Smoker
7652,Non-Smoker
7653,Non-Smoker
7654,Non-Smoker
7655,Non-Smoker
7656,Non-Smoker
7657,Non-Smoker
7658,Non-Smoker
7659,Non-Smoker
7660,Non-Smoker
7661,Non-Smoker
7662,Non-Smoker
7663,Smoker
7664,Smoker
7665,Smoker
7666,Smoker
7667,Non-Smoker
7668,Non-Smoker
7669,Smoker
7670,Non-Smoker
7671,Non-Smoker
7672,Smoker
7673,Non-Smoker
7674,Non-Smoker
7675,Non-Smoker
7676,Non-Smoker
7677,Non-Smoker
7678,Non-Smoker
7679,Non-Smoker
7680,Non-Smoker
7681,Smoker
7682,Non-Smoker
7683,Non-Smoker
7684,Non-Smoker
7685,Non-Smoker
7686,Non-Smoker
7687,Non-Smoker
7688,Non-Smoker
7689,Non-Smoker
7690,Non-Smoker
7691,Non-Smoker
7692,Non-Smoker
7693,Non-Smoker
7694,Non-Smoker
7695,Non-Smoker
7696,Non-Smoker
7697,Non-Smoker
7698,Non-Smoker
7699,Non-Smoker
7700,Non-Smoker
7701,Non-Smoker
7702,Non-Smoker
7703,Non-Smoker
7704,Non-Smoker
7705,Non-Smoker
7706,Smoker
7707,Non-Smoker
7708,Non-Smoker
7709,Non-Smoker
7710,Non-Smoker
7711,Non-Smoker
7712,Non-Smoker
7713,Non-Smoker
7714,Non-Smoker
7715,Non-Smoker
7716,Non-Smoker
7717,Smoker
7718,Non-Smoker
7719,Non-Smoker
7720,Non-Smoker
7721,Non-Smoker
7722,Non-Smoker
7723,Non-Smoker
7724,Non-Smoker
7725,Non-Smoker
7726,Non-Smoker
7727,Non-Smoker
7728,Non-Smoker
7729,Non-Smoker
7730,Non-Smoker
7731,Non-Smoker
7732,Non-Smoker
7733,Non-Smoker
7734,Non-Smoker
7735,Non-Smoker
7736,Non-Smoker
7737,Non-Smoker
7738,Non-Smoker
7739,Non-Smoker
7740,Non-Smoker
7741,Non-Smoker
7742,Non-Smoker
7743,Non-Smoker
7744,Non-Smoker
7745,Non-Smoker
7746,Non-Smoker
7747,Non-Smoker
7748,Non-Smoker
7749,Non-Smoker
7750,Non-Smoker
7751,Smoker
7752,Non-Smoker
7753,Non-Smoker
7754,Non-Smoker
7755,Non-Smoker
7756,Non-Smoker
7757,Non-Smoker
7758,Non-Smoker
7759,Non-Smoker
7760,Non-Smoker
7761,Non-Smoker
7762,Non-Smoker
7763,Non-Smoker
7764,Non-Smoker
7765,Non-Smoker
7766,Non-Smoker
7767,Non-Smoker
7768,Non-Smoker
7769,Non-Smoker
7770,Smoker
7771,Non-Smoker
7772,Non-Smoker
7773,Non-Smoker
7774,Non-Smoker
7775,Non-Smoker
7776,Non-Smoker
7777,Non-Smoker
7778,Non-Smoker
7779,Non-Smoker
7780,Smoker
7781,Non-Smoker
7782,Non-Smoker
7783,Non-Smoker
7784,Non-Smoker
7785,Non-Smoker
7786,Non-Smoker
7787,Non-Smoker
7788,Non-Smoker
7789,Non-Smoker
7790,Smoker
7791,Smoker
7792,Non-Smoker
7793,Non-Smoker
7794,Non-Smoker
7795,Non-Smoker
7796,Non-Smoker
7797,Non-Smoker
7798,Non-Smoker
7799,Non-Smoker
7800,Non-Smoker
7801,Non-Smoker
7802,Non-Smoker
7803,Non-Smoker
7804,Non-Smoker
7805,Non-Smoker
7806,Non-Smoker
7807,Non-Smoker
7808,Non-Smoker
7809,Non-Smoker
7810,Non-Smoker
7811,Non-Smoker
7812,Non-Smoker
7813,Non-Smoker
7814,Non-Smoker
7815,Non-Smoker
7816,Non-Smoker
7817,Non-Smoker
7818,Non-Smoker
7819,Non-Smoker
7820,Smoker
7821,Non-Smoker
7822,Non-Smoker
7823,Non-Smoker
7824,Non-Smoker
7825,Non-Smoker
7826,Non-Smoker
7827,Non-Smoker
7828,Non-Smoker
7829,Non-Smoker
7830,Non-Smoker
7831,Non-Smoker
7832,Non-Smoker
7833,Non-Smoker
7834,Non-Smoker
7835,Non-Smoker
7836,Non-Smoker
7837,Non-Smoker
7838,Non-Smoker
7839,Non-Smoker
7840,Non-Smoker
7841,Smoker
7842,Non-Smoker
7843,Non-Smoker
7844,Non-Smoker
7845,Non-Smoker
7846,Non-Smoker
7847,Non-Smoker
7848,Non-Smoker
7849,Non-Smoker
7850,Non-Smoker
7851,Non-Smoker
7852,Non-Smoker
7853,Non-Smoker
7854,Non-Smoker
7855,Non-Smoker
7856,Non-Smoker
7857,Smoker
7858,Non-Smoker
7859,Smoker
7860,Smoker
7861,Non-Smoker
7862,Non-Smoker
7863,Non-Smoker
7864,Non-Smoker
7865,Non-Smoker
7866,Non-Smoker
7867,Non-Smoker
7868,Non-Smoker
7869,Non-Smoker
7870,Non-Smoker
7871,Non-Smoker
7872,Non-Smoker
7873,Non-Smoker
7874,Non-Smoker
7875,Non-Smoker
7876,Non-Smoker
7877,Non-Smoker
7878,Smoker
7879,Non-Smoker
7880,Non-Smoker
7881,Non-Smoker
7882,Non-Smoker
7883,Non-Smoker
7884,Non-Smoker
7885,Non-Smoker
7886,Non-Smoker
7887,Non-Smoker
7888,Non-Smoker
7889,Non-Smoker
7890,Non-Smoker
7891,Non-Smoker
7892,Non-Smoker
7893,Non-Smoker
7894,Non-Smoker
7895,Non-Smoker
7896,Non-Smoker
7897,Non-Smoker
7898,Non-Smoker
7899,Non-Smoker
7900,Non-Smoker
7901,Non-Smoker
7902,Non-Smoker
7903,Non-Smoker
7904,Non-Smoker
7905,Non-Smoker
7906,Non-Smoker
7907,Non-Smoker
7908,Non-Smoker
7909,Non-Smoker
7910,Non-Smoker
7911,Non-Smoker
7912,Non-Smoker
7913,Non-Smoker
7914,Non-Smoker
7915,Non-Smoker
7916,Non-Smoker
7917,Non-Smoker
7918,Non-Smoker
7919,Non-Smoker
7920,Smoker
7921,Smoker
7922,Non-Smoker
7923,Smoker
7924,Non-Smoker
7925,Smoker
7926,Non-Smoker
7927,Non-Smoker
7928,Non-Smoker
7929,Non-Smoker
7930,Non-Smoker
7931,Non-Smoker
7932,Non-Smoker
7933,Non-Smoker
7934,Smoker
7935,Non-Smoker
7936,Non-Smoker
7937,Non-Smoker
7938,Non-Smoker
7939,Non-Smoker
7940,Non-Smoker
7941,Non-Smoker
7942,Smoker
7943,Non-Smoker
7944,Non-Smoker
7945,Non-Smoker
7946,Non-Smoker
7947,Smoker
7948,Non-Smoker
7949,Non-Smoker
7950,Smoker
7951,Non-Smoker
7952,Non-Smoker
7953,Smoker
7954,Smoker
7955,Non-Smoker
7956,Smoker
7957,Non-Smoker
7958,Non-Smoker
7959,Non-Smoker
7960,Non-Smoker
7961,Non-Smoker
7962,Non-Smoker
7963,Non-Smoker
7964,Non-Smoker
7965,Non-Smoker
7966,Non-Smoker
7967,Smoker
7968,Non-Smoker
7969,Non-Smoker
7970,Non-Smoker
7971,Non-Smoker
7972,Non-Smoker
7973,Non-Smoker
7974,Non-Smoker
7975,Non-Smoker
7976,Non-Smoker
7977,Non-Smoker
7978,Non-Smoker
7979,Non-Smoker
7980,Non-Smoker
7981,Non-Smoker
7982,Smoker
7983,Non-Smoker
7984,Non-Smoker
7985,Non-Smoker
7986,Non-Smoker
7987,Non-Smoker
7988,Non-Smoker
7989,Non-Smoker
7990,Non-Smoker
7991,Non-Smoker
7992,Non-Smoker
7993,Non-Smoker
7994,Non-Smoker
7995,Non-Smoker
7996,Non-Smoker
7997,Non-Smoker
7998,Non-Smoker
7999,Non-Smoker
8000,Non-Smoker
8001,Non-Smoker
8002,Non-Smoker
8003,Non-Smoker
8004,Non-Smoker
8005,Non-Smoker
8006,Non-Smoker
8007,Non-Smoker
8008,Non-Smoker
8009,Non-Smoker
8010,Non-Smoker
8011,Non-Smoker
8012,Non-Smoker
8013,Smoker
8014,Non-Smoker
8015,Non-Smoker
8016,Non-Smoker
8017,Non-Smoker
8018,Non-Smoker
8019,Non-Smoker
8020,Non-Smoker
8021,Non-Smoker
8022,Non-Smoker
8023,Smoker
8024,Smoker
8025,Non-Smoker
8026,Non-Smoker
8027,Non-Smoker
8028,Non-Smoker
8029,Non-Smoker
8030,Non-Smoker
8031,Non-Smoker
8032,Non-Smoker
8033,Smoker
8034,Non-Smoker
8035,Non-Smoker
8036,Non-Smoker
8037,Non-Smoker
8038,Non-Smoker
8039,Non-Smoker
8040,Non-Smoker
8041,Non-Smoker
8042,Non-Smoker
8043,Non-Smoker
8044,Non-Smoker
8045,Non-Smoker
8046,Non-Smoker
8047,Non-Smoker
8048,Non-Smoker
8049,Non-Smoker
8050,Non-Smoker
8051,Non-Smoker
8052,Non-Smoker
8053,Non-Smoker
8054,Non-Smoker
8055,Non-Smoker
8056,Smoker
8057,Non-Smoker
8058,Smoker
8059,Non-Smoker
8060,Non-Smoker
8061,Non-Smoker
8062,Non-Smoker
8063,Non-Smoker
8064,Non-Smoker
8065,Non-Smoker
8066,Non-Smoker
8067,Non-Smoker
8068,Non-Smoker
8069,Smoker
8070,Non-Smoker
8071,Non-Smoker
8072,Non-Smoker
8073,Non-Smoker
8074,Non-Smoker
8075,Non-Smoker
8076,Non-Smoker
8077,Non-Smoker
8078,Non-Smoker
8079,Non-Smoker
8080,Non-Smoker
8081,Smoker
8082,Smoker
8083,Non-Smoker
8084,Non-Smoker
8085,Non-Smoker
8086,Non-Smoker
8087,Smoker
8088,Non-Smoker
8089,Non-Smoker
8090,Non-Smoker
8091,Non-Smoker
8092,Non-Smoker
8093,Non-Smoker
8094,Non-Smoker
8095,Non-Smoker
8096,Smoker
8097,Non-Smoker
8098,Non-Smoker
8099,Non-Smoker
8100,Non-Smoker
8101,Non-Smoker
8102,Smoker
8103,Non-Smoker
8104,Smoker
8105,Non-Smoker
8106,Non-Smoker
8107,Non-Smoker
8108,Non-Smoker
8109,Smoker
8110,Non-Smoker
8111,Non-Smoker
8112,Smoker
8113,Non-Smoker
8114,Non-Smoker
8115,Non-Smoker
8116,Non-Smoker
8117,Non-Smoker
8118,Non-Smoker
8119,Non-Smoker
8120,Non-Smoker
8121,Smoker
8122,Non-Smoker
8123,Non-Smoker
8124,Non-Smoker
8125,Non-Smoker
8126,Smoker
8127,Non-Smoker
8128,Smoker
8129,Non-Smoker
8130,Non-Smoker
8131,Non-Smoker
8132,Non-Smoker
8133,Non-Smoker
8134,Smoker
8135,Non-Smoker
8136,Non-Smoker
8137,Non-Smoker
8138,Non-Smoker
8139,Non-Smoker
8140,Non-Smoker
8141,Smoker
8142,Non-Smoker
8143,Non-Smoker
8144,Non-Smoker
8145,Non-Smoker
8146,Non-Smoker
8147,Non-Smoker
8148,Non-Smoker
8149,Non-Smoker
8150,Smoker
8151,Smoker
8152,Non-Smoker
8153,Non-Smoker
8154,Non-Smoker
8155,Non-Smoker
8156,Non-Smoker
8157,Non-Smoker
8158,Non-Smoker
8159,Non-Smoker
8160,Non-Smoker
8161,Non-Smoker
8162,Non-Smoker
8163,Non-Smoker
8164,Non-Smoker
8165,Non-Smoker
8166,Non-Smoker
8167,Non-Smoker
8168,Non-Smoker
8169,Smoker
8170,Non-Smoker
8171,Non-Smoker
8172,Non-Smoker
8173,Non-Smoker
8174,Non-Smoker
8175,Non-Smoker
8176,Non-Smoker
8177,Non-Smoker
8178,Non-Smoker
8179,Non-Smoker
8180,Non-Smoker
8181,Non-Smoker
8182,Non-Smoker
8183,Non-Smoker
8184,Non-Smoker
8185,Non-Smoker
8186,Non-Smoker
8187,Non-Smoker
8188,Non-Smoker
8189,Non-Smoker
8190,Non-Smoker
8191,Non-Smoker
8192,Smoker
8193,Non-Smoker
8194,Non-Smoker
8195,Non-Smoker
8196,Non-Smoker
8197,Non-Smoker
8198,Non-Smoker
8199,Non-Smoker
8200,Non-Smoker
8201,Non-Smoker
8202,Non-Smoker
8203,Non-Smoker
8204,Non-Smoker
8205,Non-Smoker
8206,Non-Smoker
8207,Non-Smoker
8208,Non-Smoker
8209,Non-Smoker
8210,Non-Smoker
8211,Smoker
8212,Non-Smoker
8213,Non-Smoker
8214,Non-Smoker
8215,Non-Smoker
8216,Non-Smoker
8217,Non-Smoker
8218,Smoker
8219,Non-Smoker
8220,Non-Smoker
8221,Non-Smoker
8222,Smoker
8223,Smoker
8224,Non-Smoker
8225,Non-Smoker
8226,Non-Smoker
8227,Non-Smoker
8228,Non-Smoker
8229,Non-Smoker
8230,Non-Smoker
8231,Non-Smoker
8232,Non-Smoker
8233,Smoker
8234,Non-Smoker
8235,Non-Smoker
8236,Non-Smoker
8237,Non-Smoker
8238,Non-Smoker
8239,Non-Smoker
8240,Non-Smoker
8241,Non-Smoker
8242,Non-Smoker
8243,Smoker
8244,Non-Smoker
8245,Non-Smoker
8246,Non-Smoker
8247,Non-Smoker
8248,Non-Smoker
8249,Non-Smoker
8250,Non-Smoker
8251,Non-Smoker
8252,Non-Smoker
8253,Non-Smoker
8254,Smoker
8255,Non-Smoker
8256,Non-Smoker
8257,Smoker
8258,Non-Smoker
8259,Non-Smoker
8260,Smoker
8261,Non-Smoker
8262,Non-Smoker
8263,Non-Smoker
8264,Non-Smoker
8265,Non-Smoker
8266,Non-Smoker
8267,Non-Smoker
8268,Non-Smoker
8269,Non-Smoker
8270,Non-Smoker
8271,Non-Smoker
8272,Non-Smoker
8273,Smoker
8274,Smoker
8275,Non-Smoker
8276,Non-Smoker
8277,Smoker
8278,Non-Smoker
8279,Non-Smoker
8280,Non-Smoker
8281,Non-Smoker
8282,Non-Smoker
8283,Non-Smoker
8284,Non-Smoker
8285,Non-Smoker
8286,Non-Smoker
8287,Non-Smoker
8288,Non-Smoker
8289,Non-Smoker
8290,Non-Smoker
8291,Non-Smoker
8292,Smoker
8293,Non-Smoker
8294,Non-Smoker
8295,Smoker
8296,Non-Smoker
8297,Non-Smoker
8298,Non-Smoker
8299,Non-Smoker
8300,Smoker
8301,Non-Smoker
8302,Non-Smoker
8303,Non-Smoker
8304,Non-Smoker
8305,Non-Smoker
8306,Non-Smoker
8307,Non-Smoker
8308,Non-Smoker
8309,Non-Smoker
8310,Smoker
8311,Non-Smoker
8312,Non-Smoker
8313,Non-Smoker
8314,Non-Smoker
8315,Non-Smoker
8316,Non-Smoker
8317,Non-Smoker
8318,Non-Smoker
8319,Non-Smoker
8320,Non-Smoker
8321,Smoker
8322,Non-Smoker
8323,Non-Smoker
8324,Non-Smoker
8325,Non-Smoker
8326,Non-Smoker
8327,Non-Smoker
8328,Non-Smoker
8329,Non-Smoker
8330,Non-Smoker
8331,Smoker
8332,Non-Smoker
8333,Non-Smoker
8334,Smoker
8335,Non-Smoker
8336,Non-Smoker
8337,Non-Smoker
8338,Non-Smoker
8339,Non-Smoker
8340,Non-Smoker
8341,Non-Smoker
8342,Non-Smoker
8343,Non-Smoker
8344,Non-Smoker
8345,Non-Smoker
8346,Non-Smoker
8347,Non-Smoker
8348,Non-Smoker
8349,Non-Smoker
8350,Non-Smoker
8351,Non-Smoker
8352,Non-Smoker
8353,Non-Smoker
8354,Non-Smoker
8355,Non-Smoker
8356,Smoker
8357,Non-Smoker
8358,Non-Smoker
8359,Non-Smoker
8360,Non-Smoker
8361,Smoker
8362,Non-Smoker
